Date,Open,High,Low,Close,Adj Close,Volume,percentage
2004-02-05,10.100.000.000,10.300.000.000,10.060.000.000,10.240.000.000,7.457.452.637,18245000,"55357,63%"
2004-02-06,10.320.000.000,10.700.000.000,10.280.000.000,10.540.000.000,7.675.933.105,34875000,"29591,40%"
2004-02-09,10.720.000.000,10.920.000.000,10.700.000.000,10.860.000.000,7.908.976.074,22635000,"47360,28%"
2004-02-10,10.940.000.000,11.000.000.000,10.760.000.000,10.920.000.000,7.952.674.805,20570000,"53184,25%"
2004-02-11,11.000.000.000,11.180.000.000,10.960.000.000,11.080.000.000,8.069.197.754,30435000,"36142,60%"
2004-02-12,11.200.000.000,11.200.000.000,10.920.000.000,10.980.000.000,7.996.368.652,28550000,"39229,42%"
2004-02-13,10.900.000.000,11.100.000.000,10.840.000.000,11.100.000.000,8.083.761.230,16760000,"65035,80%"
2004-02-16,11.100.000.000,11.320.000.000,11.020.000.000,11.260.000.000,8.200.285.156,31250000,"35520,00%"
2004-02-17,11.220.000.000,11.420.000.000,11.120.000.000,11.200.000.000,8.156.589.355,18220000,"61580,68%"
2004-02-18,11.260.000.000,11.360.000.000,10.980.000.000,10.980.000.000,7.996.368.652,18650000,"60375,34%"
2004-02-19,11.020.000.000,11.100.000.000,10.900.000.000,11.100.000.000,8.083.761.230,18885000,"58353,19%"
2004-02-20,10.940.000.000,11.080.000.000,10.880.000.000,10.980.000.000,7.996.368.652,18165000,"60225,71%"
2004-02-23,10.900.000.000,11.040.000.000,10.780.000.000,10.940.000.000,7.967.237.793,19085000,"57112,92%"
2004-02-24,10.800.000.000,10.880.000.000,10.580.000.000,10.620.000.000,7.734.192.871,30425000,"35497,12%"
2004-02-25,10.560.000.000,10.580.000.000,10.440.000.000,10.500.000.000,7.646.801.758,24540000,"43031,78%"
2004-02-26,10.540.000.000,10.640.000.000,10.460.000.000,10.520.000.000,7.661.366.211,17225000,"61190,13%"
2004-02-27,10.400.000.000,10.900.000.000,10.400.000.000,10.900.000.000,7.938.105.957,20965000,"49606,49%"
2004-03-01,10.900.000.000,10.900.000.000,10.900.000.000,10.900.000.000,7.938.105.957,0,#DIV/0!
2004-03-02,11.100.000.000,11.160.000.000,10.980.000.000,11.080.000.000,8.069.197.754,24930000,"44524,67%"
2004-03-03,11.100.000.000,11.180.000.000,11.040.000.000,11.080.000.000,8.069.197.754,17960000,"61804,01%"
2004-03-04,11.080.000.000,11.380.000.000,11.040.000.000,11.380.000.000,8.287.673.828,21405000,"51763,61%"
2004-03-05,11.420.000.000,11.420.000.000,11.280.000.000,11.280.000.000,8.214.851.563,21440000,"53264,93%"
2004-03-08,11.220.000.000,11.260.000.000,10.940.000.000,10.980.000.000,7.996.368.652,20235000,"55448,48%"
2004-03-09,10.800.000.000,10.900.000.000,10.700.000.000,10.780.000.000,7.850.717.285,17675000,"61103,25%"
2004-03-10,10.760.000.000,10.840.000.000,10.600.000.000,10.620.000.000,7.734.192.871,22620000,"47568,52%"
2004-03-11,10.580.000.000,10.820.000.000,10.560.000.000,10.660.000.000,7.763.326.660,46135000,"22932,70%"
2004-03-12,10.600.000.000,10.660.000.000,10.140.000.000,10.480.000.000,7.632.237.305,46065000,"23010,96%"
2004-03-15,10.640.000.000,10.660.000.000,10.500.000.000,10.500.000.000,7.646.801.758,18220000,"58397,37%"
2004-03-16,10.340.000.000,10.560.000.000,10.280.000.000,10.560.000.000,7.690.500.977,19705000,"52473,99%"
2004-03-17,10.680.000.000,10.940.000.000,10.640.000.000,10.900.000.000,7.938.105.957,21170000,"50448,75%"
2004-03-18,10.960.000.000,10.960.000.000,10.740.000.000,10.880.000.000,7.923.544.922,22035000,"49739,05%"
2004-03-19,10.820.000.000,11.100.000.000,10.800.000.000,11.100.000.000,8.083.761.230,17055000,"63441,81%"
2004-03-22,11.000.000.000,11.080.000.000,10.820.000.000,10.880.000.000,7.923.544.922,20000000,"55000,00%"
2004-03-23,10.700.000.000,10.880.000.000,10.640.000.000,10.820.000.000,7.879.845.703,19105000,"56006,28%"
2004-03-24,10.800.000.000,10.900.000.000,10.700.000.000,10.840.000.000,7.894.411.621,21040000,"51330,80%"
2004-03-25,10.900.000.000,10.940.000.000,10.620.000.000,10.700.000.000,7.792.452.637,23440000,"46501,71%"
2004-03-26,10.940.000.000,11.080.000.000,10.860.000.000,10.900.000.000,7.938.105.957,42705000,"25617,61%"
2004-03-29,10.980.000.000,11.220.000.000,10.960.000.000,11.100.000.000,8.083.761.230,24570000,"44688,64%"
2004-03-30,11.240.000.000,11.300.000.000,11.140.000.000,11.200.000.000,8.156.589.355,20140000,"55809,33%"
2004-03-31,11.360.000.000,11.440.000.000,11.260.000.000,11.440.000.000,8.331.367.188,29890000,"38006,02%"
2004-04-01,11.400.000.000,11.500.000.000,11.360.000.000,11.500.000.000,8.375.067.383,19785000,"57619,41%"
2004-04-02,11.560.000.000,11.580.000.000,11.300.000.000,11.300.000.000,8.229.413.086,20525000,"56321,56%"
2004-04-05,11.300.000.000,11.300.000.000,11.300.000.000,11.300.000.000,8.229.413.086,0,#DIV/0!
2004-04-06,11.680.000.000,11.900.000.000,11.640.000.000,11.900.000.000,8.666.375.000,41690000,"28016,31%"
2004-04-07,11.900.000.000,12.140.000.000,11.820.000.000,12.000.000.000,8.739.201.172,27205000,"43741,96%"
2004-04-08,12.100.000.000,12.100.000.000,11.940.000.000,12.100.000.000,8.812.025.391,21400000,"56542,06%"
2004-04-09,11.980.000.000,12.000.000.000,11.800.000.000,11.900.000.000,8.666.375.000,16065000,"74572,05%"
